     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1684258.925;     2048838.988;     1714136.247;       75513.869 ( 4.405 %);     64.093
       IKJ;         337.500;           0.330;           0.000;        120;         80;     1137398.725;     1713803.100;     1190876.493;      148407.766 (12.462 %);     92.254
       IEX;         337.500;           0.330;           0.000;        120;         80;     1642073.500;     3244499.987;     1790712.588;      340807.824 (19.032 %);     61.352
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      831025.050;     1025331.150;      853404.894;       48420.037 ( 5.674 %);    128.735
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       90272.363;      154781.175;       98459.884;       15461.934 (15.704 %);   1115.818
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      893447.012;      923625.175;      901107.118;        7065.389 ( 0.784 %);    121.920
