     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1051710.775;     1731883.500;     1099687.543;      131781.711 (11.984 %);     99.904
       IKJ;         337.500;           0.330;           0.000;        120;         80;      525679.113;      963854.075;      588583.818;      113770.570 (19.330 %);    186.657
       IEX;         337.500;           0.330;           0.000;        120;         80;      400615.175;      502579.675;      413282.760;       24305.166 ( 5.881 %);    265.831
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      501035.438;      506459.050;      502165.078;        1388.285 ( 0.276 %);    218.779
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       89146.263;       91253.188;       90074.059;         305.543 ( 0.339 %);   1219.699
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      497278.600;      501336.075;      498955.560;         832.966 ( 0.167 %);    220.187
