     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     6615941.862;     8159559.888;     7022532.143;      495604.756 ( 7.057 %);     15.644
       IKJ;         337.500;           0.330;           0.000;        120;         80;     6409033.463;     7321629.862;     6556325.992;      233348.041 ( 3.559 %);     16.757
       IEX;         337.500;           0.330;           0.000;        120;         80;     5078776.725;     7573317.162;     5386232.373;      498638.211 ( 9.258 %);     20.397
    UNROLL;         337.500;           0.330;           0.000;        120;         80;     4366131.688;     5068261.675;     4496365.126;      189501.941 ( 4.215 %);     24.434
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       88375.700;      100935.262;       93057.813;        3821.479 ( 4.107 %);   1180.592
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;     4290630.575;     5668655.225;     4531941.912;      356486.123 ( 7.866 %);     24.242
