     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1690054.125;     2068626.375;     1742343.308;      102682.889 ( 5.893 %);     63.055
       IKJ;         337.500;           0.330;           0.000;        120;         80;      364691.525;      607592.012;      404949.142;       60476.530 (14.934 %);    271.301
       IEX;         337.500;           0.330;           0.000;        120;         80;      358334.375;      525297.088;      366416.520;       28948.259 ( 7.900 %);    299.832
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      503703.338;      632789.363;      511516.655;       23976.537 ( 4.687 %);    214.779
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       88344.300;       93133.300;       88750.671;        1133.089 ( 1.277 %);   1237.887
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      496316.612;      507560.537;      497857.581;        3234.342 ( 0.650 %);    220.672
