     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1688501.250;     2060846.500;     1725801.720;       88510.244 ( 5.129 %);     63.659
       IKJ;         337.500;           0.330;           0.000;        120;         80;     1108858.962;     1245560.475;     1116518.088;       23537.250 ( 2.108 %);     98.398
       IEX;         337.500;           0.330;           0.000;        120;         80;     1108254.625;     1273240.062;     1120583.730;       29471.907 ( 2.630 %);     98.041
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      834354.975;      922255.812;      842322.815;       18041.017 ( 2.142 %);    130.429
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       88711.075;       92790.525;       89702.973;        1400.121 ( 1.561 %);   1224.745
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      876272.150;     1269021.438;      912543.102;       94268.821 (10.330 %);    120.392
