     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1574792.500;     2031350.913;     1660509.580;      128932.709 ( 7.765 %);     66.162
       IKJ;         337.500;           0.330;           0.000;        120;         80;      475852.700;      605468.375;      504022.526;       39280.169 ( 7.793 %);    217.973
       IEX;         337.500;           0.330;           0.000;        120;         80;      481960.963;      995173.075;      585815.989;      151973.890 (25.942 %);    187.539
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      789610.050;     1281030.413;      847399.934;      115181.728 (13.592 %);    129.647
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       89159.988;       97770.700;       91135.127;        1532.777 ( 1.682 %);   1205.499
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      783155.137;     1221800.613;      863133.336;       96778.140 (11.212 %);    127.284
