     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1565918.175;     1784986.337;     1589205.572;       60120.555 ( 3.783 %);     69.131
       IKJ;         337.500;           0.330;           0.000;        120;         80;      467768.200;      610612.963;      488910.133;       40263.719 ( 8.235 %);    224.711
       IEX;         337.500;           0.330;           0.000;        120;         80;      466378.237;      840844.850;      503289.481;       84866.788 (16.862 %);    218.290
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      776535.050;      859788.275;      789774.750;       23678.840 ( 2.998 %);    139.107
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       88954.962;       90281.550;       89123.645;         310.767 ( 0.349 %);   1232.706
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      779418.525;     1430459.012;      850706.987;      159252.143 (18.720 %);    129.144
