     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     1565289.113;     2464106.188;     1657831.612;      197297.244 (11.901 %);     66.269
       IKJ;         337.500;           0.330;           0.000;        120;         80;      467280.075;      591034.438;      475677.994;       23396.734 ( 4.919 %);    230.961
       IEX;         337.500;           0.330;           0.000;        120;         80;      473493.263;      482548.463;      474857.531;        1774.317 ( 0.374 %);    231.361
    UNROLL;         337.500;           0.330;           0.000;        120;         80;      772791.625;      867250.863;      778873.839;       21365.901 ( 2.743 %);    141.054
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       88462.800;       89611.675;       88558.008;         194.153 ( 0.219 %);   1240.580
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;      777792.225;     1386549.125;      848108.673;      160959.603 (18.979 %);    129.539
