     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         337.500;           0.330;           0.000;        120;         80;     5699463.600;     7190013.862;     5812448.841;      282578.558 ( 4.862 %);     18.901
       IKJ;         337.500;           0.330;           0.000;        120;         80;     5183986.800;     5891006.438;     5269417.450;      187067.341 ( 3.550 %);     20.849
       IEX;         337.500;           0.330;           0.000;        120;         80;     4119106.875;     5468474.050;     4273410.186;      279795.652 ( 6.547 %);     25.709
    UNROLL;         337.500;           0.330;           0.000;        120;         80;     3436824.950;     4070270.788;     3488779.508;      129711.400 ( 3.718 %);     31.490
     CBLAS;         337.500;           0.330;           0.000;        120;         80;       88845.950;       97751.800;       89883.433;        1571.287 ( 1.748 %);   1222.286
   UNROLL8;         337.500;           0.330;           0.000;        120;         80;     3282887.575;     5266048.737;     3489409.209;      398185.283 (11.411 %);     31.485
